s,m/s
Time,"DUCT_FLOW_RATE"
 3.1224868E+001, 5.9356224E-003
 3.1337215E+001, 5.9876109E-003
 3.1449563E+001, 6.0384387E-003
 3.1505736E+001, 6.0758401E-003
 3.1618084E+001, 6.1123681E-003
 3.1730431E+001, 6.1595660E-003
 3.1842779E+001, 6.2045217E-003
 3.1955126E+001, 6.2469075E-003
 3.2011300E+001, 6.2770248E-003
 3.2123648E+001, 6.3054814E-003
 3.2235995E+001, 6.3411534E-003
 3.2348343E+001, 6.3737492E-003
 3.2404516E+001, 6.3959183E-003
 3.2516864E+001, 6.4153720E-003
 3.2629211E+001, 6.4371987E-003
 3.2741559E+001, 6.4538007E-003
 3.2853906E+001, 6.4651830E-003
 3.2910080E+001, 6.4705382E-003
 3.3022427E+001, 6.4727200E-003
 3.3134775E+001, 6.4710652E-003
 3.3247122E+001, 6.4631547E-003
 3.3303296E+001, 6.4527417E-003
 3.3415644E+001, 6.4373364E-003
 3.3527991E+001, 6.4097856E-003
 3.3640339E+001, 6.3738020E-003
 3.3752686E+001, 6.3295727E-003
 3.3808860E+001, 6.2912830E-003
 3.3921207E+001, 6.2476339E-003
 3.4033555E+001, 6.1815672E-003
 3.4145902E+001, 6.1049593E-003
 3.4202076E+001, 6.0402626E-003
 3.4314424E+001, 5.9679536E-003
 3.4426771E+001, 5.8613503E-003
 3.4539118E+001, 5.7428340E-003
 3.4651466E+001, 5.6128441E-003
 3.4707640E+001, 5.5082625E-003
 3.4819987E+001, 5.3964086E-003
 3.4932335E+001, 5.2372078E-003
 3.5044682E+001, 5.0657417E-003
 3.5100856E+001, 4.9297198E-003
 3.5213203E+001, 4.7870471E-003
 3.5325551E+001, 4.5897146E-003
 3.5437898E+001, 4.3866636E-003
 3.5550246E+001, 4.1816537E-003
 3.5606420E+001, 4.0293403E-003
 3.5718767E+001, 3.8820308E-003
 3.5831115E+001, 3.6989357E-003
 3.5943462E+001, 3.5426214E-003
 3.6055810E+001, 3.4286550E-003
 3.6111983E+001, 3.3794390E-003
 3.6224331E+001, 3.3765476E-003
 3.6336678E+001, 3.4463670E-003
 3.6449026E+001, 3.6150662E-003
 3.6505199E+001, 3.8072104E-003
 3.6617547E+001, 4.0656464E-003
 3.6729894E+001, 4.4960690E-003
 3.6842242E+001, 5.0238605E-003
 3.6954589E+001, 5.6413616E-003
